ETF_ID,ETF_Name,Ticker,Asset_Class,Sector,Weight (%),Source_Quality,Data_As_Of,Source_URL,Notes
VFEG,Vanguard FTSE Emerging Markets UCITS ETF,VFEG.L,Equity,Real Estate,1.7,Exact provider,2026-06-30,https://fund-docs.vanguard.com/FTSE_Emerging_Markets_UCITS_ETF_USD_Accumulating_9678_EU_INT_UK_EN.pdf,Official Vanguard factsheet sector allocation.
ICHN,iShares MSCI China UCITS ETF,ICHN.AS,Equity,Consumer Discretionary,22.36,Exact index benchmark,2026-06-30,https://www.msci.com/documents/10199/255599/msci-china-index.pdf,MSCI China Index sector allocation used as the tracked-index benchmark.
ICHN,iShares MSCI China UCITS ETF,ICHN.AS,Equity,Financials,19.18,Exact index benchmark,2026-06-30,https://www.msci.com/documents/10199/255599/msci-china-index.pdf,MSCI China Index sector allocation used as the tracked-index benchmark.
ICHN,iShares MSCI China UCITS ETF,ICHN.AS,Equity,Communication Services,19.14,Exact index benchmark,2026-06-30,https://www.msci.com/documents/10199/255599/msci-china-index.pdf,MSCI China Index sector allocation used as the tracked-index benchmark.
ICHN,iShares MSCI China UCITS ETF,ICHN.AS,Equity,Information Technology,13.69,Exact index benchmark,2026-06-30,https://www.msci.com/documents/10199/255599/msci-china-index.pdf,MSCI China Index sector allocation used as the tracked-index benchmark.
ICHN,iShares MSCI China UCITS ETF,ICHN.AS,Equity,Industrials,6.07,Exact index benchmark,2026-06-30,https://www.msci.com/documents/10199/255599/msci-china-index.pdf,MSCI China Index sector allocation used as the tracked-index benchmark.
ICHN,iShares MSCI China UCITS ETF,ICHN.AS,Equity,Materials,5.21,Exact index benchmark,2026-06-30,https://www.msci.com/documents/10199/255599/msci-china-index.pdf,MSCI China Index sector allocation used as the tracked-index benchmark.
ICHN,iShares MSCI China UCITS ETF,ICHN.AS,Equity,Health Care,4.99,Exact index benchmark,2026-06-30,https://www.msci.com/documents/10199/255599/msci-china-index.pdf,MSCI China Index sector allocation used as the tracked-index benchmark.
ICHN,iShares MSCI China UCITS ETF,ICHN.AS,Equity,Energy,3.25,Exact index benchmark,2026-06-30,https://www.msci.com/documents/10199/255599/msci-china-index.pdf,MSCI China Index sector allocation used as the tracked-index benchmark.
ICHN,iShares MSCI China UCITS ETF,ICHN.AS,Equity,Consumer Staples,2.82,Exact index benchmark,2026-06-30,https://www.msci.com/documents/10199/255599/msci-china-index.pdf,MSCI China Index sector allocation used as the tracked-index benchmark.
ICHN,iShares MSCI China UCITS ETF,ICHN.AS,Equity,Utilities,1.81,Exact index benchmark,2026-06-30,https://www.msci.com/documents/10199/255599/msci-china-index.pdf,MSCI China Index sector allocation used as the tracked-index benchmark.
ICHN,iShares MSCI China UCITS ETF,ICHN.AS,Equity,Real Estate,1.48,Exact index benchmark,2026-06-30,https://www.msci.com/documents/10199/255599/msci-china-index.pdf,MSCI China Index sector allocation used as the tracked-index benchmark.
IUIT,iShares S&P 500 Information Technology Sector UCITS ETF,IUIT.L,Equity,Information Technology,100.0,Exact mandate,2026-07-17,https://www.ishares.com/uk/individual/en/products/280510/ishares-s-p-500-information-technology-sector-ucits-etf?siteEntryPassthrough=true&switchLocale=y,Single-sector ETF; mandate is 100% information technology.
IUHC,iShares S&P 500 Health Care Sector UCITS ETF,IUHC.L,Equity,Health Care,100.0,Exact mandate,2026-07-17,https://www.ishares.com/uk/individual/en/products/280507/ishares-sp-500-health-care-sector-ucits-etf?siteEntryPassthrough=true&switchLocale=y,Single-sector ETF; mandate is 100% health care.
INRG,iShares Global Clean Energy Transition UCITS ETF,INRG.L,Equity,Industrials,39.0,Exact index benchmark,2026-07-23,https://www.spglobal.com/spdji/en/indices/sustainability/sp-global-clean-energy-transition-index/,Current S&P Global Clean Energy Transition Index sector composition.
INRG,iShares Global Clean Energy Transition UCITS ETF,INRG.L,Equity,Utilities,32.0,Exact index benchmark,2026-07-23,https://www.spglobal.com/spdji/en/indices/sustainability/sp-global-clean-energy-transition-index/,Current S&P Global Clean Energy Transition Index sector composition.
INRG,iShares Global Clean Energy Transition UCITS ETF,INRG.L,Equity,Information Technology,28.0,Exact index benchmark,2026-07-23,https://www.spglobal.com/spdji/en/indices/sustainability/sp-global-clean-energy-transition-index/,Current S&P Global Clean Energy Transition Index sector composition.
INRG,iShares Global Clean Energy Transition UCITS ETF,INRG.L,Equity,Energy,1.0,Exact index benchmark,2026-07-23,https://www.spglobal.com/spdji/en/indices/sustainability/sp-global-clean-energy-transition-index/,Current S&P Global Clean Energy Transition Index sector composition.
